,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
0,1,1894,Carmencita (1894) ,5.7,1676,"Performing on what looks like a small wooden stage, wearing a dress with a hoop skirt and white high-heeled pumps, Carmencita does a dance with kicks and twirls, a smile always on her face.","['Documentary', 'Short']","[('Carmencita', 1588970)]",,"[{'star': 'Carmencita', 'star_id': 1588970, 'character': 'Self', 'character_id': 1}]","[('William K.L. Dickson', 5690)]",10 March 1894,USA,None,"['West Orange', 'New Jersey', 'USA']",,,1
1,2,1892,Le clown et ses chiens (1892) ,6.1,208,Short film of 300 individually painted images.,"['Animation', 'Short']",,,[],"[('Émile Reynaud', 721526)]",28 October 1892,France,None,,,,5
2,3,1892,Poor Pierrot (1892) ,6.5,1404,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.","['Animation', 'Comedy', 'Short']",,,[],"[('Émile Reynaud', 721526)]",28 October 1892,France,None,,,,4
3,4,1892,Un bon bock (1892) ,6.2,123,"A wanderer comes into a cabaret in the countryside and asks for a glass of beer to a waitress. It is visible that she appeals to him. When the waitress comes back with the beer, the ...
                    See full summary »","['Animation', 'Short']",,,[],"[('Émile Reynaud', 721526)]",28 October 1892,France,None,,,,12
4,5,1893,Blacksmith Scene (1893) ,6.2,2200,Three men hammer on an anvil and pass a bottle of beer around.,"['Short', 'Comedy']","[('Charles Kayser', 443482), ('John Ott', 443482)]",,"[{'star': 'Charles Kayser', 'star_id': 443482, 'character': 'Blacksmith', 'character_id': 5}, {'star': 'John Ott', 'star_id': 653042, 'character': 'Assistant', 'character_id': 5}]","[('William K.L. Dickson (uncredited)', 5690)]",9 May 1893,USA,None,"['Edison Laboratories', 'West Orange', 'New Jersey', 'USA']",,,1
5,6,1894,Chinese Opium Den (1894) ,5.3,120,No description.,['Short'],,,[],"[('William K.L. Dickson (uncredited)', 5690)]",17 October 1894,USA,"['None', 'English']",,,,1
6,7,1894,Corbett and Courtney Before the Kinetograph (1894) ,5.4,672,James J. Corbett and Peter Courtney meet in a boxing exhibition.,"['Short', 'Sport']","[('James J. Corbett', 179163), ('Peter Courtney', 179163)]",,"[{'star': 'James J. Corbett', 'star_id': 179163, 'character': None, 'character_id': None}, {'star': 'Peter Courtney', 'star_id': 183947, 'character': None, 'character_id': None}]","[('William K.L. Dickson', 5690), ('William Heise', 5690)]",17 November 1894,USA,None,"['Black Maria Studio', 'West Orange', 'New Jersey', 'USA']",,,1
7,8,1894,Edison Kinetoscopic Record of a Sneeze (1894) ,5.4,1851,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,"['Documentary', 'Short']","[('Fred Ott', 653028)]",,"[{'star': 'Fred Ott', 'star_id': 653028, 'character': 'Sneezing Man', 'character_id': 8}]","[('William K.L. Dickson', 5690)]",9 January 1894,USA,None,"['Edison Laboratories', 'West Orange', 'New Jersey', 'USA']",,,1
8,9,1894,Miss Jerry (1894) ,6,156,The adventures of a female reporter in the 1890s.,"['Short', 'Romance']","[('Blanche Bayliss', 63086), ('William Courtenay', 63086), ('Chauncey Depew', 63086)]","[('Alexander Black', 85156)]","[{'star': 'Blanche Bayliss', 'star_id': 63086, 'character': 'Miss Geraldine Holbrook (Miss Jerry)', 'character_id': 9}, {'star': 'William Courtenay', 'star_id': 183823, 'character': 'Mr. Hamilton', 'character_id': 9}, {'star': 'Chauncey Depew', 'star_id': 1309758, 'character': 'Chauncey Depew - the Director of the New York Central Railroad', 'character_id': 9}]","[('Alexander Black', 85156)]",9 October 1894,USA,None,,,,40
9,10,1895,Leaving the Factory (1895) ,6.9,6190,"Workers leaving the Lumière factory for lunch in Lyon, France in 1895; a place of great photographic innovation and one of the birth places of cinema.","['Documentary', 'Short']",,,[],"[('Louis Lumière', 525910)]",22 March 1895,France,None,"['Lyon', 'France']",,,1
